1,jcb,91
2,maestro,240
3,visa,189
4,visa,19
5,jcb,218
6,jcb,27
7,jcb,170
8,bankcard,296
9,diners-club-carte-blanche,202
10,laser,66
11,china-unionpay,246
12,jcb,84
13,instapayment,245
14,maestro,125
15,jcb,38
16,mastercard,277
17,china-unionpay,230
18,jcb,146
19,jcb,38
20,bankcard,57
21,maestro,216
22,bankcard,88
23,switch,268
24,jcb,207
25,jcb,288
26,jcb,46
27,visa,229
28,solo,264
29,switch,116
30,jcb,27
31,mastercard,169
32,diners-club-enroute,39
33,mastercard,187
34,laser,103
35,jcb,209
36,jcb,283
37,americanexpress,242
38,diners-club-carte-blanche,28
39,laser,74
40,mastercard,53
41,jcb,44
42,jcb,85
43,jcb,291
44,diners-club-enroute,8
45,diners-club-international,281
46,jcb,282
47,switch,90
48,diners-club-enroute,152
49,jcb,226
50,solo,275
51,laser,32
52,americanexpress,170
53,jcb,43
54,diners-club-carte-blanche,232
55,jcb,211
56,mastercard,265
57,maestro,81
58,instapayment,161
59,bankcard,58
60,jcb,25
61,diners-club-carte-blanche,108
62,americanexpress,80
63,bankcard,108
64,jcb,89
65,jcb,48
66,mastercard,263
67,instapayment,255
68,jcb,226
69,jcb,203
70,jcb,230
71,mastercard,256
72,jcb,126
73,visa,192
74,bankcard,223
75,jcb,89
76,jcb,36
77,jcb,286
78,jcb,110
79,jcb,98
80,jcb,117
81,visa-electron,127
82,jcb,291
83,mastercard,244
84,jcb,289
85,jcb,90
86,jcb,172
87,mastercard,200
88,mastercard,63
89,jcb,134
90,visa-electron,235
91,china-unionpay,181
92,mastercard,127
93,jcb,204
94,mastercard,77
95,visa-electron,180
96,jcb,298
97,diners-club-carte-blanche,247
98,jcb,186
99,americanexpress,108
100,jcb,90
101,jcb,155
102,americanexpress,111
103,jcb,42
104,laser,66
105,maestro,101
106,diners-club-enroute,63
107,mastercard,186
108,mastercard,83
109,jcb,110
110,maestro,167
111,diners-club-carte-blanche,222
112,instapayment,236
113,jcb,93
114,jcb,150
115,jcb,2
116,jcb,92
117,jcb,262
118,jcb,43
119,jcb,279
120,diners-club-enroute,102
121,maestro,172
122,switch,179
123,jcb,137
124,china-unionpay,23
125,bankcard,191
126,jcb,79
127,jcb,41
128,americanexpress,217
129,jcb,14
130,laser,146
131,jcb,103
132,jcb,23
133,china-unionpay,154
134,instapayment,77
135,diners-club-enroute,202
136,maestro,55
137,mastercard,56
138,mastercard,131
139,jcb,146
140,jcb,79
