1,8/1/2021,1034.9,9,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,66
2,8/4/2021,25.58,10,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,49
3,4/19/2021,1777.1,8,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,73
4,7/25/2021,19.37,9,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate,23
5,9/25/2021,1697.82,6,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,24
6,8/15/2021,1123.9,1,id consequat in consequat ut nulla sed accumsan felis ut at dolor,41
7,7/9/2021,1336.68,3,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla,45
8,5/30/2021,1729.53,7,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,82
9,7/8/2021,747.51,9,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,49
10,7/22/2021,1945.05,9,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum,16
11,7/17/2021,1603.78,3,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,51
12,5/25/2021,1520.38,5,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,68
13,2/27/2021,107.74,9,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,53
14,9/25/2021,44.34,3,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,26
15,1/11/2021,1585.59,7,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,40
16,4/18/2021,289.57,9,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,78
